Entity,Code,Year,Low-carbon energy (% equivalent primary energy)
Africa (EI),,2017,7.8337455
Africa (EI),,2018,8.12156
Africa (EI),,2019,8.420368
Africa (EI),,2020,9.273809
Africa (EI),,2021,9.236069
Africa (EI),,2022,9.339187
Africa (EI),,2023,9.543484
Africa (EI),,2024,9.665484
Algeria,DZA,1965,4.48735
Algeria,DZA,1966,3.312554
Algeria,DZA,1967,4.04235
Algeria,DZA,1968,5.170891
Algeria,DZA,1969,2.995647
Algeria,DZA,1970,4.3953433
Algeria,DZA,1971,2.3105145
Algeria,DZA,1972,3.0857866
Algeria,DZA,1973,3.9326987
Algeria,DZA,1974,2.3470907
Algeria,DZA,1975,1.2958319
Algeria,DZA,1976,1.3172302
Algeria,DZA,1977,0.828733
Algeria,DZA,1978,0.61283517
Algeria,DZA,1979,0.54437596
Algeria,DZA,1980,0.4031064
Algeria,DZA,1981,0.47260314
Algeria,DZA,1982,0.5364575
Algeria,DZA,1983,0.24094447
Algeria,DZA,1984,0.4826921
Algeria,DZA,1985,0.6844301
Algeria,DZA,1986,0.2502992
Algeria,DZA,1987,0.48622057
Algeria,DZA,1988,0.16645434
Algeria,DZA,1989,0.21135321
Algeria,DZA,1990,0.11906669
Algeria,DZA,1991,0.26082626
Algeria,DZA,1992,0.17263989
Algeria,DZA,1993,0.32912087
Algeria,DZA,1994,0.15274073
Algeria,DZA,1995,0.1712212
Algeria,DZA,1996,0.12100656
Algeria,DZA,1997,0.06994659
Algeria,DZA,1998,0.19370805
Algeria,DZA,1999,0.18108313
Algeria,DZA,2000,0.05001067
Algeria,DZA,2001,0.061327934
Algeria,DZA,2002,0.048507243
Algeria,DZA,2003,0.2143434
Algeria,DZA,2004,0.19449507
Algeria,DZA,2005,0.40765893
Algeria,DZA,2006,0.15344006
Algeria,DZA,2007,0.1504157
Algeria,DZA,2008,0.17631334
Algeria,DZA,2009,0.20000759
Algeria,DZA,2010,0.10803143
Algeria,DZA,2011,0.22096606
Algeria,DZA,2012,0.21108034
Algeria,DZA,2013,0.060776502
Algeria,DZA,2014,0.110372595
Algeria,DZA,2015,0.09101885
Algeria,DZA,2016,0.13686113
Algeria,DZA,2017,0.23208226
Algeria,DZA,2018,0.27123353
Algeria,DZA,2019,0.27703846
Algeria,DZA,2020,0.2825046
Algeria,DZA,2021,0.23804712
Algeria,DZA,2022,0.22791375
Algeria,DZA,2023,0.22667149
Algeria,DZA,2024,0.24168092
Argentina,ARG,1965,1.0365571
Argentina,ARG,1966,1.0169654
Argentina,ARG,1967,1.0119467
Argentina,ARG,1968,1.1537669
Argentina,ARG,1969,1.0012252
Argentina,ARG,1970,1.2743663
Argentina,ARG,1971,1.1961744
Argentina,ARG,1972,1.1634786
Argentina,ARG,1973,2.150352
Argentina,ARG,1974,4.119082
Argentina,ARG,1975,5.3853903
Argentina,ARG,1976,5.0432487
Argentina,ARG,1977,4.7161007
Argentina,ARG,1978,6.71964
Argentina,ARG,1979,7.8906255
Argentina,ARG,1980,10.388002
Argentina,ARG,1981,10.718959
Argentina,ARG,1982,11.65124
Argentina,ARG,1983,12.538156
Argentina,ARG,1984,14.014489
Argentina,ARG,1985,15.301983
Argentina,ARG,1986,14.76864
Argentina,ARG,1987,14.982324
Argentina,ARG,1988,10.937585
Argentina,ARG,1989,9.810555
Argentina,ARG,1990,13.6947
Argentina,ARG,1991,12.720032
Argentina,ARG,1992,13.174425
Argentina,ARG,1993,15.302314
Argentina,ARG,1994,16.339176
Argentina,ARG,1995,14.968068
Argentina,ARG,1996,12.811262
Argentina,ARG,1997,15.114323
Argentina,ARG,1998,13.784657
Argentina,ARG,1999,11.420765
Argentina,ARG,2000,14.014502
Argentina,ARG,2001,17.901878
Argentina,ARG,2002,17.78333
Argentina,ARG,2003,16.565489
Argentina,ARG,2004,14.325627
Argentina,ARG,2005,14.3706255
Argentina,ARG,2006,15.168048
Argentina,ARG,2007,12.258589
Argentina,ARG,2008,12.106019
Argentina,ARG,2009,13.7327385
Argentina,ARG,2010,13.235318
Argentina,ARG,2011,12.250948
Argentina,ARG,2012,11.45881
Argentina,ARG,2013,11.716171
Argentina,ARG,2014,11.81745
Argentina,ARG,2015,12.049857
Argentina,ARG,2016,11.6676655
Argentina,ARG,2017,11.98059
Argentina,ARG,2018,12.567667
Argentina,ARG,2019,13.688924
Argentina,ARG,2020,14.714594
Argentina,ARG,2021,13.605953
Argentina,ARG,2022,13.854352
Argentina,ARG,2023,16.295404
Argentina,ARG,2024,17.416788
Asia,,1965,7.4333434
Asia,,1966,7.099727
Asia,,1967,6.3814373
Asia,,1968,6.613382
Asia,,1969,6.009197
Asia,,1970,5.5293536
Asia,,1971,5.625692
Asia,,1972,5.4621716
Asia,,1973,4.7623744
Asia,,1974,5.542834
Asia,,1975,5.793758
Asia,,1976,5.817604
Asia,,1977,5.3332567
Asia,,1978,5.9090614
Asia,,1979,6.3003645
Asia,,1980,6.9452653
Asia,,1981,7.3530545
Asia,,1982,7.63062
Asia,,1983,7.890967
Asia,,1984,7.9196973
Asia,,1985,8.063442
Asia,,1986,7.97463
Asia,,1987,8.200076
Asia,,1988,8.149124
Asia,,1989,8.043105
Asia,,1990,8.168601
Asia,,1991,8.105637
Asia,,1992,7.876458
Asia,,1993,8.364485
Asia,,1994,8.170303
Asia,,1995,8.58043
Asia,,1996,8.382598
Asia,,1997,8.390665
Asia,,1998,8.807661
Asia,,1999,8.5171585
Asia,,2000,8.442738
Asia,,2001,8.513082
Asia,,2002,8.306992
Asia,,2003,7.4888015
Asia,,2004,7.896349
Asia,,2005,7.6043057
Asia,,2006,7.6920485
Asia,,2007,7.379466
Asia,,2008,7.697574
Asia,,2009,7.602741
Asia,,2010,8.006027
Asia,,2011,7.4299707
Asia,,2012,7.40489
Asia,,2013,7.848505
Asia,,2014,8.454369
Asia,,2015,8.903258
Asia,,2016,9.515852
Asia,,2017,9.957567
Asia,,2018,10.575139
Asia,,2019,11.400803
Asia,,2020,12.1635475
Asia,,2021,12.709806
Asia,,2022,13.484888
Asia,,2023,13.782881
Asia,,2024,15.011215
Asia Pacific (EI),,1965,8.399181
Asia Pacific (EI),,1966,7.987655
Asia Pacific (EI),,1967,7.230043
Asia Pacific (EI),,1968,7.430746
Asia Pacific (EI),,1969,6.7319007
Asia Pacific (EI),,1970,6.2351747
Asia Pacific (EI),,1971,6.399182
Asia Pacific (EI),,1972,6.1920033
Asia Pacific (EI),,1973,5.504368
Asia Pacific (EI),,1974,6.3291163
Asia Pacific (EI),,1975,6.5372424
Asia Pacific (EI),,1976,6.461758
Asia Pacific (EI),,1977,5.927026
Asia Pacific (EI),,1978,6.496676
Asia Pacific (EI),,1979,6.9934287
Asia Pacific (EI),,1980,7.6341248
Asia Pacific (EI),,1981,8.101238
Asia Pacific (EI),,1982,8.411511
Asia Pacific (EI),,1983,8.830886
Asia Pacific (EI),,1984,8.921006
Asia Pacific (EI),,1985,9.4360895
Asia Pacific (EI),,1986,9.484914
Asia Pacific (EI),,1987,9.537235
Asia Pacific (EI),,1988,9.212204
Asia Pacific (EI),,1989,9.348087
Asia Pacific (EI),,1990,9.382856
Asia Pacific (EI),,1991,9.332127
Asia Pacific (EI),,1992,8.916967
Asia Pacific (EI),,1993,9.294881
Asia Pacific (EI),,1994,9.149967
Asia Pacific (EI),,1995,9.603696
Asia Pacific (EI),,1996,9.280599
Asia Pacific (EI),,1997,9.341511
Asia Pacific (EI),,1998,9.858205
Asia Pacific (EI),,1999,9.562783
Asia Pacific (EI),,2000,9.551427
Asia Pacific (EI),,2001,9.69041
Asia Pacific (EI),,2002,9.37597
Asia Pacific (EI),,2003,8.336274
Asia Pacific (EI),,2004,8.770853
Asia Pacific (EI),,2005,8.460931
Asia Pacific (EI),,2006,8.549429
Asia Pacific (EI),,2007,8.247005
Asia Pacific (EI),,2008,8.779562
Asia Pacific (EI),,2009,8.668539
Asia Pacific (EI),,2010,9.057159
Asia Pacific (EI),,2011,8.434669
Asia Pacific (EI),,2012,8.379304
Asia Pacific (EI),,2013,8.887686
Asia Pacific (EI),,2014,9.717301
Asia Pacific (EI),,2015,10.166074
Asia Pacific (EI),,2016,10.899902
Asia Pacific (EI),,2017,11.395385
Asia Pacific (EI),,2018,12.107362
Asia Pacific (EI),,2019,12.8329735
Asia Pacific (EI),,2020,13.785555
Asia Pacific (EI),,2021,14.5008955
Asia Pacific (EI),,2022,15.362338
Asia Pacific (EI),,2023,15.590253
Asia Pacific (EI),,2024,16.903889
Australia,AUS,1965,5.251514
Australia,AUS,1966,4.7868743
Australia,AUS,1967,4.6709657
Australia,AUS,1968,4.5908995
Australia,AUS,1969,4.799949
Australia,AUS,1970,5.1151695
Australia,AUS,1971,5.494465
Australia,AUS,1972,5.2832108
Australia,AUS,1973,5.2738605
Australia,AUS,1974,5.621664
Australia,AUS,1975,5.946086
Australia,AUS,1976,5.46922
Australia,AUS,1977,4.9728255
Australia,AUS,1978,5.1981664
Australia,AUS,1979,4.8739867
Australia,AUS,1980,4.5865984
Australia,AUS,1981,4.651113
Australia,AUS,1982,4.375391
Australia,AUS,1983,4.1726146
Australia,AUS,1984,4.3544593
Australia,AUS,1985,4.492084
Australia,AUS,1986,4.4399962
Australia,AUS,1987,4.2012877
Australia,AUS,1988,4.301873
Australia,AUS,1989,4.101315
Australia,AUS,1990,4.137041
Australia,AUS,1991,4.3940225
Australia,AUS,1992,4.3885193
Australia,AUS,1993,4.406949
Australia,AUS,1994,4.1957083
Australia,AUS,1995,4.001723
Australia,AUS,1996,3.9997537
Australia,AUS,1997,3.9143484
Australia,AUS,1998,3.8129077
Australia,AUS,1999,3.7857795
Australia,AUS,2000,3.7645082
Australia,AUS,2001,3.655366
Australia,AUS,2002,3.7108545
Australia,AUS,2003,3.7965071
Australia,AUS,2004,3.8290668
Australia,AUS,2005,4.095098
Australia,AUS,2006,4.023526
Australia,AUS,2007,3.7864707
Australia,AUS,2008,3.499129
Australia,AUS,2009,3.7221737
Australia,AUS,2010,4.0876446
Australia,AUS,2011,5.3919606
Australia,AUS,2012,5.399917
Australia,AUS,2013,6.1726875
Australia,AUS,2014,5.6627235
Australia,AUS,2015,5.9553065
Australia,AUS,2016,6.7850986
Australia,AUS,2017,6.3734684
Australia,AUS,2018,7.847639
Australia,AUS,2019,8.40721
Australia,AUS,2020,10.29223
Australia,AUS,2021,12.282586
Australia,AUS,2022,13.247022
Australia,AUS,2023,14.323447
Australia,AUS,2024,14.733206
Austria,AUT,1965,23.93953
Austria,AUT,1966,24.660316
Austria,AUT,1967,24.930605
Austria,AUT,1968,23.942204
Austria,AUT,1969,21.211708
Austria,AUT,1970,23.62367
Austria,AUT,1971,18.683784
Austria,AUT,1972,18.560486
Austria,AUT,1973,19.189177
Austria,AUT,1974,22.621471
Austria,AUT,1975,23.879324
Austria,AUT,1976,19.890339
Austria,AUT,1977,24.10896
Austria,AUT,1978,23.114895
Austria,AUT,1979,24.606277
Austria,AUT,1980,25.616678
Austria,AUT,1981,28.003008
Austria,AUT,1982,29.015383
Austria,AUT,1983,28.818497
Austria,AUT,1984,25.484493
Austria,AUT,1985,28.506361
Austria,AUT,1986,28.914047
Austria,AUT,1987,30.868633
Austria,AUT,1988,31.399988
Austria,AUT,1989,31.084078
Austria,AUT,1990,27.76444
Austria,AUT,1991,26.52839
Austria,AUT,1992,29.827892
Austria,AUT,1993,30.718403
Austria,AUT,1994,30.027718
Austria,AUT,1995,30.140165
Austria,AUT,1996,27.074467
Austria,AUT,1997,28.264048
Austria,AUT,1998,28.531652
Austria,AUT,1999,30.66756
Austria,AUT,2000,31.26769
Austria,AUT,2001,29.411423
Austria,AUT,2002,28.923092
Austria,AUT,2003,24.120514
Austria,AUT,2004,26.119173
Austria,AUT,2005,26.316614
Austria,AUT,2006,26.989784
Austria,AUT,2007,29.094082
Austria,AUT,2008,29.577007
Austria,AUT,2009,32.5476
Austria,AUT,2010,30.113115
Austria,AUT,2011,29.15819
Austria,AUT,2012,34.49825
Austria,AUT,2013,34.02354
Austria,AUT,2014,35.016697
Austria,AUT,2015,33.051586
Austria,AUT,2016,34.026432
Austria,AUT,2017,33.21268
Austria,AUT,2018,33.13921
Austria,AUT,2019,34.18949
Austria,AUT,2020,36.879936
Austria,AUT,2021,34.638123
Austria,AUT,2022,35.134083
Austria,AUT,2023,40.022125
Austria,AUT,2024,43.347355
Azerbaijan,AZE,1985,1.5533733
Azerbaijan,AZE,1986,0.8841861
Azerbaijan,AZE,1987,0.91239166
Azerbaijan,AZE,1988,0.7914281
Azerbaijan,AZE,1989,0.7760777
Azerbaijan,AZE,1990,1.7696381
Azerbaijan,AZE,1991,1.9544965
Azerbaijan,AZE,1992,2.2671876
Azerbaijan,AZE,1993,3.6319344
Azerbaijan,AZE,1994,2.9807847
Azerbaijan,AZE,1995,2.6951706
Azerbaijan,AZE,1996,3.2475834
Azerbaijan,AZE,1997,3.778814
Azerbaijan,AZE,1998,4.2910814
Azerbaijan,AZE,1999,3.3179066
Azerbaijan,AZE,2000,3.2334957
Azerbaijan,AZE,2001,2.8298752
Azerbaijan,AZE,2002,4.4186716
Azerbaijan,AZE,2003,4.963229
Azerbaijan,AZE,2004,4.8662996
Azerbaijan,AZE,2005,4.8642797
Azerbaijan,AZE,2006,4.113798
Azerbaijan,AZE,2007,4.172744
Azerbaijan,AZE,2008,3.9057946
Azerbaijan,AZE,2009,4.6727557
Azerbaijan,AZE,2010,7.0208406
Azerbaijan,AZE,2011,4.771241
Azerbaijan,AZE,2012,3.13323
Azerbaijan,AZE,2013,2.6123571
Azerbaijan,AZE,2014,2.2877438
Azerbaijan,AZE,2015,2.5956335
Azerbaijan,AZE,2016,3.1447477
Azerbaijan,AZE,2017,2.8683722
Azerbaijan,AZE,2018,2.8174486
Azerbaijan,AZE,2019,2.4512126
Azerbaijan,AZE,2020,1.7904454
Azerbaijan,AZE,2021,1.9303348
Azerbaijan,AZE,2022,2.1882486
Azerbaijan,AZE,2023,2.2942455
Azerbaijan,AZE,2024,4.303142
Bangladesh,BGD,1971,3.6343348
Bangladesh,BGD,1972,3.2066982
Bangladesh,BGD,1973,4.7342954
Bangladesh,BGD,1974,3.2603962
Bangladesh,BGD,1975,5.698549
Bangladesh,BGD,1976,5.532154
Bangladesh,BGD,1977,4.786648
Bangladesh,BGD,1978,5.218664
Bangladesh,BGD,1979,5.4919906
Bangladesh,BGD,1980,4.674274
Bangladesh,BGD,1981,4.7269816
Bangladesh,BGD,1982,3.582893
Bangladesh,BGD,1983,4.5890126
Bangladesh,BGD,1984,5.7568502
Bangladesh,BGD,1985,4.2640357
Bangladesh,BGD,1986,2.3829525
Bangladesh,BGD,1987,2.4806774
Bangladesh,BGD,1988,2.908988
Bangladesh,BGD,1989,3.679739
Bangladesh,BGD,1990,3.331917
Bangladesh,BGD,1991,3.2737448
Bangladesh,BGD,1992,2.850549
Bangladesh,BGD,1993,1.9793183
Bangladesh,BGD,1994,2.5986552
Bangladesh,BGD,1995,0.9653535
Bangladesh,BGD,1996,1.831692
Bangladesh,BGD,1997,1.6959825
Bangladesh,BGD,1998,1.916027
Bangladesh,BGD,1999,1.8243144
Bangladesh,BGD,2000,1.6248266
Bangladesh,BGD,2001,1.8306202
Bangladesh,BGD,2002,1.4535722
Bangladesh,BGD,2003,1.3526305
Bangladesh,BGD,2004,1.2325705
Bangladesh,BGD,2005,1.1229804
Bangladesh,BGD,2006,1.0508331
Bangladesh,BGD,2007,1.0368377
Bangladesh,BGD,2008,1.2242036
Bangladesh,BGD,2009,0.5131713
Bangladesh,BGD,2010,0.8342272
Bangladesh,BGD,2011,0.99530375
Bangladesh,BGD,2012,0.84601665
Bangladesh,BGD,2013,0.8128067
Bangladesh,BGD,2014,0.68606883
Bangladesh,BGD,2015,0.7931762
Bangladesh,BGD,2016,0.7402721
Bangladesh,BGD,2017,0.8568776
Bangladesh,BGD,2018,0.7081168
Bangladesh,BGD,2019,0.6395678
Bangladesh,BGD,2020,0.65289867
Bangladesh,BGD,2021,0.6705762
Bangladesh,BGD,2022,0.6926618
Bangladesh,BGD,2023,0.7899922
Bangladesh,BGD,2024,1.0953214
Belarus,BLR,1985,0.013615218
Belarus,BLR,1986,0.0119260205
Belarus,BLR,1987,0.011754909
Belarus,BLR,1988,0.011588526
Belarus,BLR,1989,0.011982035
Belarus,BLR,1990,0.011922588
Belarus,BLR,1991,0.010754932
Belarus,BLR,1992,0.011661243
Belarus,BLR,1993,0.015620828
Belarus,BLR,1994,0.0187022
Belarus,BLR,1995,0.02215995
Belarus,BLR,1996,0.017284459
Belarus,BLR,1997,0.022427503
Belarus,BLR,1998,0.03057955
Belarus,BLR,1999,0.02133183
Belarus,BLR,2000,0.029412428
Belarus,BLR,2001,0.033429142
Belarus,BLR,2002,0.030978968
Belarus,BLR,2003,0.02997258
Belarus,BLR,2004,0.03233662
Belarus,BLR,2005,0.035009693
Belarus,BLR,2006,0.033930745
Belarus,BLR,2007,0.047331303
Belarus,BLR,2008,0.097415656
Belarus,BLR,2009,0.19278473
Belarus,BLR,2010,0.25240967
Belarus,BLR,2011,0.24433987
Belarus,BLR,2012,0.25738886
Belarus,BLR,2013,0.30522504
Belarus,BLR,2014,0.29525957
Belarus,BLR,2015,0.3455565
Belarus,BLR,2016,0.4050693
Belarus,BLR,2017,0.72615576
Belarus,BLR,2018,0.59601754
Belarus,BLR,2019,0.7227649
Belarus,BLR,2020,1.2347705
Belarus,BLR,2021,5.6652875
Belarus,BLR,2022,4.9448676
Belarus,BLR,2023,10.480571
Belarus,BLR,2024,13.209434
Belgium,BEL,1965,0.1829909
Belgium,BEL,1966,0.21297422
Belgium,BEL,1967,0.22083516
Belgium,BEL,1968,0.18205361
Belgium,BEL,1969,0.13705811
Belgium,BEL,1970,0.15599605
Belgium,BEL,1971,0.07032211
Belgium,BEL,1972,0.09428747
Belgium,BEL,1973,0.18387556
Belgium,BEL,1974,0.2569852
Belgium,BEL,1975,3.7892344
Belgium,BEL,1976,5.1659255
Belgium,BEL,1977,6.2851844
Belgium,BEL,1978,6.305922
Belgium,BEL,1979,5.642009
Belgium,BEL,1980,6.468939
Belgium,BEL,1981,7.0123305
Belgium,BEL,1982,8.675124
Belgium,BEL,1983,13.661834
Belgium,BEL,1984,15.028982
Belgium,BEL,1985,17.902702
Belgium,BEL,1986,19.801931
Belgium,BEL,1987,20.522501
Belgium,BEL,1988,20.64666
Belgium,BEL,1989,19.58572
Belgium,BEL,1990,19.444876
Belgium,BEL,1991,18.844162
Belgium,BEL,1992,19.178371
Belgium,BEL,1993,18.764635
Belgium,BEL,1994,17.326273
Belgium,BEL,1995,17.450834
Belgium,BEL,1996,17.159792
Belgium,BEL,1997,18.572662
Belgium,BEL,1998,17.81068
Belgium,BEL,1999,19.074211
Belgium,BEL,2000,18.486795
Belgium,BEL,2001,17.875008
Belgium,BEL,2002,18.228252
Belgium,BEL,2003,17.486244
Belgium,BEL,2004,17.41843
Belgium,BEL,2005,17.8332
Belgium,BEL,2006,17.689903
Belgium,BEL,2007,18.242659
Belgium,BEL,2008,17.278635
Belgium,BEL,2009,19.884037
Belgium,BEL,2010,19.5262
Belgium,BEL,2011,21.581808
Belgium,BEL,2012,20.234152
Belgium,BEL,2013,20.905048
Belgium,BEL,2014,19.184013
Belgium,BEL,2015,16.651451
Belgium,BEL,2016,21.770555
Belgium,BEL,2017,21.650682
Belgium,BEL,2018,17.273655
Belgium,BEL,2019,22.460085
Belgium,BEL,2020,23.359882
Belgium,BEL,2021,26.118
Belgium,BEL,2022,26.078308
Belgium,BEL,2023,24.605164
Belgium,BEL,2024,23.359575
Brazil,BRA,1965,26.31852
Brazil,BRA,1966,26.386042
Brazil,BRA,1967,26.64073
Brazil,BRA,1968,24.384598
Brazil,BRA,1969,23.900604
Brazil,BRA,1970,25.225378
Brazil,BRA,1971,25.184057
Brazil,BRA,1972,25.688374
Brazil,BRA,1973,24.613737
Brazil,BRA,1974,25.08163
Brazil,BRA,1975,26.182571
Brazil,BRA,1976,27.343033
Brazil,BRA,1977,29.194218
Brazil,BRA,1978,29.56036
Brazil,BRA,1979,31.370226
Brazil,BRA,1980,33.76569
Brazil,BRA,1981,35.262108
Brazil,BRA,1982,36.675797
Brazil,BRA,1983,39.906044
Brazil,BRA,1984,41.74007
Brazil,BRA,1985,42.545986
Brazil,BRA,1986,41.61087
Brazil,BRA,1987,41.418835
Brazil,BRA,1988,42.35605
Brazil,BRA,1989,43.01438
Brazil,BRA,1990,43.674126
Brazil,BRA,1991,43.954098
Brazil,BRA,1992,44.320553
Brazil,BRA,1993,44.289715
Brazil,BRA,1994,43.94073
Brazil,BRA,1995,43.747883
Brazil,BRA,1996,43.174488
Brazil,BRA,1997,42.56701
Brazil,BRA,1998,42.447395
Brazil,BRA,1999,42.284
Brazil,BRA,2000,41.666473
Brazil,BRA,2001,38.929466
Brazil,BRA,2002,40.46832
Brazil,BRA,2003,42.010628
Brazil,BRA,2004,41.73007
Brazil,BRA,2005,42.32597
Brazil,BRA,2006,42.571976
Brazil,BRA,2007,43.48097
Brazil,BRA,2008,42.673203
Brazil,BRA,2009,45.34717
Brazil,BRA,2010,43.718937
Brazil,BRA,2011,43.6295
Brazil,BRA,2012,41.498512
Brazil,BRA,2013,39.558323
Brazil,BRA,2014,38.68187
Brazil,BRA,2015,39.783176
Brazil,BRA,2016,42.715485
Brazil,BRA,2017,42.448708
Brazil,BRA,2018,45.269135
Brazil,BRA,2019,46.322407
Brazil,BRA,2020,48.153114
Brazil,BRA,2021,44.705956
Brazil,BRA,2022,48.640915
Brazil,BRA,2023,49.891148
Brazil,BRA,2024,50.6218
Bulgaria,BGR,1965,4.6463866
Bulgaria,BGR,1966,4.354997
Bulgaria,BGR,1967,3.770125
Bulgaria,BGR,1968,2.1745162
Bulgaria,BGR,1969,2.7502878
Bulgaria,BGR,1970,2.8605528
Bulgaria,BGR,1971,2.7700152
Bulgaria,BGR,1972,2.5986295
Bulgaria,BGR,1973,3.0689979
Bulgaria,BGR,1974,3.487259
Bulgaria,BGR,1975,5.253967
Bulgaria,BGR,1976,7.874997
Bulgaria,BGR,1977,8.859181
Bulgaria,BGR,1978,8.012233
Bulgaria,BGR,1979,8.3090515
Bulgaria,BGR,1980,8.191733
Bulgaria,BGR,1981,10.7265415
Bulgaria,BGR,1982,11.340041
Bulgaria,BGR,1983,12.799681
Bulgaria,BGR,1984,13.141099
Bulgaria,BGR,1985,12.716632
Bulgaria,BGR,1986,11.675705
Bulgaria,BGR,1987,12.052161
Bulgaria,BGR,1988,14.659163
Bulgaria,BGR,1989,13.69855
Bulgaria,BGR,1990,14.003182
Bulgaria,BGR,1991,16.419891
Bulgaria,BGR,1992,15.189392
Bulgaria,BGR,1993,16.680658
Bulgaria,BGR,1994,18.303787
Bulgaria,BGR,1995,19.903536
Bulgaria,BGR,1996,21.549444
Bulgaria,BGR,1997,22.251902
Bulgaria,BGR,1998,22.573732
Bulgaria,BGR,1999,23.869953
Bulgaria,BGR,2000,26.782888
Bulgaria,BGR,2001,26.246626
Bulgaria,BGR,2002,28.304205
Bulgaria,BGR,2003,24.682598
Bulgaria,BGR,2004,24.984322
Bulgaria,BGR,2005,26.345652
Bulgaria,BGR,2006,26.55773
Bulgaria,BGR,2007,20.13886
Bulgaria,BGR,2008,21.57077
Bulgaria,BGR,2009,24.802073
Bulgaria,BGR,2010,26.205162
Bulgaria,BGR,2011,23.567915
Bulgaria,BGR,2012,26.075945
Bulgaria,BGR,2013,28.171637
Bulgaria,BGR,2014,28.907114
Bulgaria,BGR,2015,28.29122
Bulgaria,BGR,2016,28.14672
Bulgaria,BGR,2017,26.033373
Bulgaria,BGR,2018,30.611357
Bulgaria,BGR,2019,29.929037
Bulgaria,BGR,2020,32.336487
Bulgaria,BGR,2021,31.712154
Bulgaria,BGR,2022,29.813543
Bulgaria,BGR,2023,34.52137
Bulgaria,BGR,2024,36.7042
CIS (EI),,1965,3.3521888
CIS (EI),,1966,3.5532656
CIS (EI),,1967,3.270149
CIS (EI),,1968,3.7206485
CIS (EI),,1969,3.9428964
CIS (EI),,1970,4.0704107
CIS (EI),,1971,3.9616272
CIS (EI),,1972,3.8050103
CIS (EI),,1973,3.726203
CIS (EI),,1974,3.966284
CIS (EI),,1975,3.806495
CIS (EI),,1976,4.1211095
CIS (EI),,1977,4.492661
CIS (EI),,1978,4.8317003
CIS (EI),,1979,4.903522
